bench,prover_time_ms,verifier_time_ms,proof_bits,system
aha-mont64,1.0009977303577937,-0.6189896682206754,5.139904262163216,STARKRA
aha-mont64,1.164709663539879,-0.5348209578188677,5.131772596704908,STARKRA
aha-mont64,1.078348049555357,-0.5439423342934174,5.139904262163216,STARKRA
aha-mont64,1.1175695634638274,-0.5504336708675209,5.131772596704908,STARKRA
aha-mont64,1.090222771686575,-0.5477886855522069,5.123485765223539,STARKRA
crc32,0.7678976160180907,-0.6463741648037978,4.941113727037101,STARKRA
crc32,0.8964711004792772,-0.6750881710504035,4.948686758859522,STARKRA
crc32,0.6241789257480224,-0.6585417333201217,4.95612999563469,STARKRA
crc32,0.6919651027673603,-0.6074912231683892,4.943652772073255,STARKRA
crc32,0.7715139899796665,-1.0589857562944303,4.93599066572462,STARKRA
cubic,0.9483640559883693,-0.5785145332341638,5.000520840936185,STARKRA
cubic,0.4902394852462873,-1.0334077737440779,5.000520840936185,STARKRA
cubic,0.5549734583332399,-1.043562620838789,4.996056124586308,STARKRA
cubic,0.5365584425715301,-1.0400813603702446,5.000520840936185,STARKRA
cubic,0.4598446423882078,-1.0409108856326077,5.020062809852399,STARKRA
edn,1.0636335452307846,-0.7607881395488711,5.286204892334013,STARKRA
edn,1.0391363992220952,-0.7588421676733103,5.2907822901928645,STARKRA
edn,1.024033897900905,-0.7632990272523612,5.2907822901928645,STARKRA
edn,1.034748743146489,-0.764562461451498,5.2907822901928645,STARKRA
edn,1.0212720139510383,-0.7642494127374214,5.2907822901928645,STARKRA
matmult-int,0.5690225860295637,-1.0051419662362246,5.088660470634164,STARKRA
matmult-int,0.5873741720730654,-0.9673288691319659,5.088660470634164,STARKRA
matmult-int,0.638389407665336,-0.966395326167629,5.088660470634164,STARKRA
matmult-int,0.5331362882786388,-0.9746531654901729,5.10642209667365,STARKRA
matmult-int,0.756864224060549,-0.996716151382708,5.104678268065462,STARKRA
nbody,0.44700289846616237,-1.030747211698768,5.031586185624649,STARKRA
nbody,0.5737995822157407,-1.0062596494177898,5.025338640969998,STARKRA
nbody,0.3473300153169504,-1.0341447613412513,5.031586185624649,STARKRA
nbody,0.3866772839608377,-1.032821893134409,5.012567287950679,STARKRA
nbody,0.3688445068258213,-1.0219656424958459,5.012567287950679,STARKRA
nsichneu,1.0877459347847338,-0.7377411815296513,5.3371636407769945,STARKRA
nsichneu,1.0994389155535067,-0.7092021468443264,5.3371636407769945,STARKRA
nsichneu,1.0939817039141133,-0.7119028712166962,5.3371636407769945,STARKRA
nsichneu,1.077985291029502,-0.7083026665287729,5.3371636407769945,STARKRA
nsichneu,1.1258714674176817,-0.6989092073642411,5.3397137276334705,STARKRA
slre,1.2824408358298693,-0.6573187935169822,5.372514331092105,STARKRA
slre,1.3030447842433655,-0.7043097757657748,5.390525335311492,STARKRA
slre,1.291812687467119,-0.6844851682360695,5.37345636999195,STARKRA
slre,1.3154035046343509,-0.6492772316578638,5.383686135173668,STARKRA
slre,1.3214741510305557,-0.7151002558492812,5.372514331092105,STARKRA
statemate,0.5776066773625357,-0.9016816843621246,5.075780468747792,STARKRA
statemate,0.4947110252052627,-0.9841416791045325,5.064428036850487,STARKRA
statemate,0.48000694295715063,-0.9741659278887203,5.079499611947786,STARKRA
statemate,0.4895366294820954,-0.9754568680238428,5.060576976376792,STARKRA
statemate,0.4926207220431918,-1.007769119755952,5.062506775208683,STARKRA
ud,0.8139144200486035,-0.8681536633720309,5.182094948836846,STARKRA
ud,0.7599698575543072,-0.9266923161764324,5.168733128934079,STARKRA
ud,0.773347541980823,-0.8944046677967755,5.167222784161202,STARKRA
ud,0.843730965112092,-0.9016782212682507,5.174722524479066,STARKRA
ud,0.764325605625984,-0.9071671127664866,5.162659976635503,STARKRA
